date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:23:31	1358072/1358072	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20Oct%202021%2012:23:25%20GMT	https://www.amazon.com/Elleme-Womens-Vague-Lambskin-Light/dp/B08CRYF6P2/?_encoding=UTF8&pd_rd_w=QVWhN&pf_rd_p=47476175-6275-4746-aaf3-d69468e9907d&pf_rd_r=G7S08RZAY2WK6DF3SG84&pd_rd_r=8ed189e0-ff37-454c-b957-8e52b7f8b5ac&pd_rd_wg=CrqBy&ref_=pd_gw_unk	C:/Users/bryan/Downloads/https___www.amazon.com_/www.amazon.com/Elleme-Womens-Vague-Lambskin-Light/dp/B08CRYF6P2/index3021.html	(from https://www.amazon.com/)
08:23:32	10781/10781	---M--	200	added ('OK')	image/jpeg	date:Fri,%2010%20Jul%202020%2021:06:50%20GMT	https://m.media-amazon.com/images/I/61VmKKujbuL._AC_SY200_.jpg	C:/Users/bryan/Downloads/https___www.amazon.com_/m.media-amazon.com/images/I/61VmKKujbuL._AC_SY200_.jpg	(from https://www.amazon.com/)
08:23:32	17082/17082	---M--	200	added ('OK')	image/jpeg	date:Tue,%2022%20Sep%202020%2018:38:03%20GMT	https://m.media-amazon.com/images/I/61wl1rm7fKL._AC_SY400_.jpg	C:/Users/bryan/Downloads/https___www.amazon.com_/m.media-amazon.com/images/I/61wl1rm7fKL._AC_SY400_.jpg	(from https://www.amazon.com/)
08:23:32	9613/9613	---M--	200	added ('OK')	image/jpeg	date:Mon,%2016%20Sep%202019%2015:40:12%20GMT	https://m.media-amazon.com/images/I/61dGNonsf-L._AC_SY400_.jpg	C:/Users/bryan/Downloads/https___www.amazon.com_/m.media-amazon.com/images/I/61dGNonsf-L._AC_SY400_.jpg	(from https://www.amazon.com/)
08:23:32	36302/36302	---M--	200	added ('OK')	image/jpeg	date:Fri,%2015%20Jan%202021%2019:36:43%20GMT	https://m.media-amazon.com/images/I/61EoO4RrJWL._AC_SY400_.jpg	C:/Users/bryan/Downloads/https___www.amazon.com_/m.media-amazon.com/images/I/61EoO4RrJWL._AC_SY400_.jpg	(from https://www.amazon.com/)
08:23:33	28956/28956	---M--	200	added ('OK')	image/jpeg	date:Wed,%2005%20May%202021%2018:42:00%20GMT	https://m.media-amazon.com/images/I/51Tqrsh2vGS._AC_SY400_.jpg	C:/Users/bryan/Downloads/https___www.amazon.com_/m.media-amazon.com/images/I/51Tqrsh2vGS._AC_SY400_.jpg	(from https://www.amazon.com/)
08:23:33	17908/17908	---M--	200	added ('OK')	image/jpeg	date:Mon,%2007%20Jun%202021%2018:18:47%20GMT	https://m.media-amazon.com/images/I/71OYoCDR+0S._AC_SY400_.jpg	C:/Users/bryan/Downloads/https___www.amazon.com_/m.media-amazon.com/images/I/71OYoCDR+0S._AC_SY400_.jpg	(from https://www.amazon.com/)
08:23:33	15563/15563	---M--	200	added ('OK')	image/jpeg	date:Wed,%2009%20Jun%202021%2018:36:38%20GMT	https://m.media-amazon.com/images/I/712R4RJyp1S._AC_SY400_.jpg	C:/Users/bryan/Downloads/https___www.amazon.com_/m.media-amazon.com/images/I/712R4RJyp1S._AC_SY400_.jpg	(from https://www.amazon.com/)
08:23:33	16769/16769	---M--	200	added ('OK')	image/jpeg	date:Sun,%2006%20Jun%202021%2017:21:42%20GMT	https://m.media-amazon.com/images/I/91cyRlprv9L._AC_SY400_.jpg	C:/Users/bryan/Downloads/https___www.amazon.com_/m.media-amazon.com/images/I/91cyRlprv9L._AC_SY400_.jpg	(from https://www.amazon.com/)
08:23:34	54091/54091	---M--	200	added ('OK')	image/jpeg	date:Mon,%2020%20Sep%202021%2017:43:31%20GMT	https://m.media-amazon.com/images/I/918MTHmr+kL._AC_SY400_.jpg	C:/Users/bryan/Downloads/https___www.amazon.com_/m.media-amazon.com/images/I/918MTHmr+kL._AC_SY400_.jpg	(from https://www.amazon.com/)
